Combination name,Number of clusters,Number of patients per cluster,Silhouette,Wilcoxon p-value,Wilcoxon statistic,Entropy
RF_SPEC_2,2,"100, 269",0.519±0.195,5.624E-29,124.802,0.842899785
WSD_UMAP_AHC_2,2,"246, 123",0.57±0.145,2.213E-28,122.083,0.918295834
WSD_UMAP_KMD_2,2,"125, 244",0.571±0.138,1.348E-27,118.5,0.923620784
WSD_UMAP_KME_2,2,"125, 244",0.571±0.138,1.348E-27,118.5,0.923620784
GOM_2,2,"253, 116",0.607±0.229,1.728E-27,118.007,0.898145923
RF_KMD_2,2,"233, 136",0.512±0.185,7.597E-26,110.505,0.949562865
RF_UMAP_KME_2,2,"206, 163",0.53±0.171,6.551E-20,83.445,0.990182161
RF_UMAP_KMD_2,2,"163, 206",0.53±0.171,6.551E-20,83.445,0.990182161
RF_UMAP_AHC_2,2,"164, 205",0.531±0.17,7.327E-20,83.224,0.99107606
RF_UMAP_SPEC_2,2,"205, 164",0.531±0.17,7.327E-20,83.224,0.99107606
WSD_UMAP_KME_3,3,"146, 123, 100",0.573±0.153,1.939E-10,40.527,0.989328163
WSD_UMAP_SPEC_3,3,"98, 148, 123",0.574±0.154,1.186E-09,36.992,0.987377824
WSD_UMAP_AHC_3,3,"123, 148, 98",0.574±0.154,1.186E-09,36.992,0.987377824
WSD_UMAP_KMD_3,3,"123, 148, 98",0.574±0.154,1.186E-09,36.992,0.987377824
WSD_UMAP_AHC_4,4,"148, 89, 98, 34",0.539±0.211,0.00000843,19.838,0.924233524
MEY_3,3,"241, 101, 27",0.593±0.211,0.00001512,18.722,0.750227393
WSD_UMAP_KME_4,4,"76, 100, 144, 49",0.543±0.172,0.00002464,17.792,0.948266833
WSD_UMAP_SPEC_4,4,"98, 146, 50, 75",0.544±0.172,0.00002834,17.526,0.947600073
WSD_UMAP_KMD_4,4,"48, 77, 98, 146",0.544±0.176,0.00003082,17.366,0.945883877
RF_UMAP_KME_4,4,"88, 96, 94, 91",0.506±0.174,0.00008673,15.406,0.999609713
RF_UMAP_KMD_4,4,"85, 94, 96, 94",0.505±0.178,0.00216,9.408,0.999216371
GRO_4,4,"13, 88, 118, 150",0.539±0.213,0.01124,6.427,0.858575384
